CEO,Company,2019 Fortune 500 ranking,effective date as CEO,Ticker Symbol (NYS/NASDAQ)
Laura Alber,Williams-Sonoma,495,5/1/10,WSM
Beth E. Mooney,KeyBank,413,5/1/11,KEY
Tricia Griffith,Progressive Corporation,99,7/1/16,PGR
Ginni Rometty[3],IBM,38,1/1/12,IBM
Safra A. Catz,Oracle Corporation,81,9/18/14,ORCL
Marillyn Hewson[4],Lockheed Martin,60,1/1/13,LMT
Phebe Novakovic,General Dynamics,92,1/20/13,GD
Mary Dillon,Ulta Beauty,449,6/1/13,ULTA
Mary Barra,General Motors,13,1/15/14,GM
Barbara Rentler,Ross Stores,209,6/1/14,ROST